clave_SUN,Nombre de la ciudad,Entidad,Población total 2010,Porcentaje de la Población SUN,Rango Población,Tipo,Número de Municipios,Índice de Competitividad Urbana IMCO,Ciudad Político-Administrativa (Capital Estatal),Elecciones Ayuntamientos,Elecciones Gobernador,Ciudad Comercial,Ciudad Industrial,Ciudad Minera,Ciudad Costera,Ciudad Portuaria,Ciudad Cultural,Ciudad Turística,Ciudad Fronteriza,Con Estudio PRESEEM,Municipios con PACMUN,Programa Regional de Desarrollo 2014-2018,Clima A,Clima B,Clima C,Precipitación Media Anual,Temp. Minima Anual (°C),Temp. Media Anual (°C),Temp. Máxima Anual (°C),Grado de marginación urbana 2010,Finanzas Públicas / Endeudamiento,Margen de diferencia con respecto a valor de columna 'C' y columa 'AG' (%),2010,2015,2020,2025,2030,Tasa de crecimiento      2010 – 2015 (%),Tasa de crecimiento      2015 – 2020 (%),Tasa de crecimiento      2020 – 2025 (%),Tasa de crecimiento      2025 – 2030 (%),Población masculina (%),Población femenina (%),Población de 0 a 14 años (%),Población de 15 a 64 años (%),Población de 65 años y más (%),Consumo energético promedio por unidad SUN (enero a agosto de 2016) kW,Consumo energético per cápita por ciudad (enero a agosto de 2016) (kW),"Número de delitos por cada 1,000 habitantes"
1,Aguascalientes,Aguascalientes,932369,1.2497366807,C,Zona Metropolitana,3,Adecuada,1,05/07/16,05/07/16,,,,N/A,N/A,N/A,,N/A,1,1 de 3,Centro,Semiseco semicálido,Semiseco templado,-,1.5333333333,9.9583333333,18.825,27.6916666667,Bajo,,0.8872420615,940641.369936327,1016592.27736128,1081320.59055693,1138067.23804506,1187585.99155634,8.0743745547,6.3671852164,5.2479022395,4.3511272318,48.5963175524,51.4036824476,30.8046492322,63.9376684553,4.8575188579,368877,39.563413198,19
3,Mexicali,Baja California,936826,1.2557107922,C,Zona Metropolitana,1,Media Alta,1,05/07/16,07/07/13,,,,0,N/A,N/A,,1,N/A,N/A,Norte,"Muy seco, muy cálido y cálido",-,-,0.175,16.75,22.5833333333,28.4166666667,Bajo,,2.2321306437,957737.18022403,1025740.19323429,1091603.92543817,1153342.00407625,1210211.2205745,7.1003835305,6.4210930446,5.6557215671,4.930819852,50.5113009246,49.4886990754,27.5148213222,65.2328180473,5.230426995,376269,40.1642354076,37
2,Tijuana,Baja California,1751430,2.3475966218,B,Zona Metropolitana,3,Media Baja,0,05/07/16,07/07/13,,,,1,Puertos y Terminales no concesionados a una API,N/A,,1,1,N/A,Norte,Seco templado,-,-,0.6333333333,10.2388888889,18.1472222222,26.0555555556,Medio,,2.1868515305,1789731.17375993,1938596.8359934,2080191.3381616,2212598.11994925,2335372.08758025,8.3177666242,7.3039684961,6.3651251382,5.5488598008,50.4317614749,49.5682385251,29.1348783565,66.0935920933,3.878716249,661856,37.789463467,36
13,Valle de México,Cd. México – Hidalgo - México,20116842,26.9643835722,A,Zona Metropolitana,76,Alta,1,2015 y 2016,01/07/12,,,,N/A,N/A,FONCA/UNESCO,,N/A,N/A,N/A,Centro,Templado subhúmedo con lluvias en verano,Semifrío subhúmedo con lluvias en verano,Semifrío húmedo con lluvias abundantes en verano,2.2536616162,7.4631313131,15.2527777778,23.0424242424,Medio,,1.9134301027,20501763.7105348,21339781.1526482,22086499.3174259,22724231.4721586,23247131.1892449,4.0875382916,3.4991837987,2.8874297623,2.3010666729,48.3672685802,51.6327314198,25.0452034171,67.0658048614,6.1119980959,6387561,31.7523048598,21
10,Tuxtla Gutiérrez,Chiapas,684156,0.9170348312,C,Zona Metropolitana,3,Baja,1,19/07/15,01/07/12,,,,0,N/A,N/A,,N/A,1,N/A,Sur-Sureste,Cálido subhúmedo con lluvias en verano,-,-,2.6833333333,20.2666666667,26.1166666667,31.9666666667,Alto,,2.313281927,699982.457100439,762737.904866533,808931.288190827,844485.07922995,872636.514021751,8.9652886482,6.0562590412,4.3951558752,3.3335621297,48.0597992271,51.9402007729,27.7724670981,66.5177240279,4.6825577792,281749,41.1819818872,11
12,Chihuahua,Chihuahua,852533,1.1427254248,C,Zona Metropolitana,3,Media Alta,1,05/07/16,05/06/16,,,,N/A,N/A,N/A,,0.5,N/A,N/A,Norte,Seco templado,Semiseco templado,-,0.9666666667,7.3958333333,15.8958333333,24.3958333333,Bajo,,3.5512330898,882808.433997607,949606.327448804,996240.623279217,1030790.65366753,1058344.88808269,7.5665218952,4.9109082872,3.4680407103,2.673116439,48.8973447362,51.1026552638,25.4757293853,65.3742435777,6.0438716155,330427,38.758265076,26
11,Juárez,Chihuahua,1332131,1.7855730662,B,Zona Metropolitana,1,Media Alta,0,05/07/16,05/06/16,,,,N/A,N/A,N/A,,1,1,N/A,Norte,Muy seco templado,-,-,0.825,9.8,18.4625,27.125,Medio,,3.4515382428,1378110.01090949,1423165.50394304,1488356.59568324,1554249.82703736,1616344.38462464,3.2693683869,4.5807105048,4.4272475793,3.9951465014,49.9718871492,50.0281128508,29.8200402213,61.2890924391,3.9394774238,417216,31.3194423071,24
6,Monclova-Frontera,Coahuila de Zaragoza,317313,0.4253226945,D,Zona Metropolitana,3,Media Alta,0,04/06/17,04/06/17,,,,N/A,N/A,N/A,,0.5,1,N/A,Norte,Seco semicálido,-,-,0.4666666667,11.6416666667,20.35,29.0583333333,Medio,,1.2567153874,321300.721297084,338517.176683093,355988.472534255,372144.540336458,386622.406567843,5.3583618849,5.1611253592,4.5383682475,3.8903879171,49.7637978904,50.2362021096,28.0760636974,65.4483112889,5.8081452698,119907,37.7882406331,N/D
7,Piedras Negras,Coahuila de Zaragoza,180734,0.2422537743,D,Zona Metropolitana,2,Media Alta,0,04/06/17,04/06/17,,,,N/A,N/A,N/A,,1,N/A,N/A,Norte,Semiseco semicálido,-,-,1.1458333333,13.0666666667,20.8395833333,28.6125,Medio,,1.1866292725,182878.642549368,191073.936492276,201908.07669929,212891.433709225,223080.34405716,4.4812744827,5.6701297968,5.439780909,4.7859653958,50.1516040147,49.8483959853,30.8209855368,62.6534022375,4.8391558866,72372,40.043378667,N/D
5,Saltillo,Coahuila de Zaragoza,823128,1.1033113011,C,Zona Metropolitana,3,Adecuada,1,04/06/17,04/06/17,,,,N/A,N/A,N/A,,0.5,N/A,N/A,Norte,Seco semicálido,Seco Templado,Semiseco templado,0.7416666667,11.8583333333,20.7430555556,29.6277777778,Bajo,,1.2156275032,833134.170354308,900756.289919624,957363.060781867,1007619.57902851,1052523.39696143,8.1165941779,6.2843603198,5.2494732986,4.4564257054,49.7137747714,50.2862252286,28.9250274562,64.6879950627,4.9840365047,309736,37.6291415187,N/D
4,La Laguna,Coahuila de Zaragoza-Durango,1215817,1.6296671188,B,Zona Metropolitana,4,Media Alta,0,2016 y 2017,2016 y 2017,,,,N/A,N/A,N/A,,0,1,N/A,Norte,Muy seco semicálido,-,-,1.3027777778,7.9361111111,16.3708333333,24.8055555556,Medio,,1.6155902752,1235459.62121661,1313161.48723535,1383303.09764422,1446134.61476038,1501567.02654976,6.2893084229,5.3414306687,4.5421366599,3.8331432789,49.0995766633,50.9004233367,28.9390590854,63.575850642,5.6320975936,373178,30.6935994479,N/D
8,Colima-Villa de Álvarez,Colima,334240,0.4480114506,D,Zona Metropolitana,5,Media Alta,1,19/07/15,07/06/15,,,,0.5,N/A,N/A,,N/A,1,N/A,Centro,Cálido subhúmedo con lluvias en verano,-,-,2.3583333333,18.41,25.5775,32.745,Bajo,,1.2223276639,338325.507983912,370644.882382906,400007.084976726,426983.992123871,451940.958852862,9.5527453994,7.9219231101,6.7441073322,5.8449420094,48.9612254667,51.0387745333,25.7704044998,65.9158089995,6.6892053614,153109,45.8081019627,14
